City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
131,vardo,53,NO,1616122376,77,70.3705,31.1107,-4.8,6.9
132,iracoubo,52,GF,1616122611,82,5.4802,-53.2011,24.15,3.31
133,souillac,20,MU,1616122410,94,-20.5167,57.5167,22.0,1.54
134,faya,0,SA,1616122468,82,18.3851,42.4509,13.0,1.13
135,karasjok,84,NO,1616122611,73,69.4719,25.5112,-10.0,8.75
136,hualmay,100,PE,1616122612,79,-11.0964,-77.6139,21.72,2.63
137,sambir,99,UA,1616122612,83,49.5183,23.1975,-4.44,1.84
138,sioux lookout,40,CA,1616122385,37,50.1001,-91.917,1.0,1.54
139,sisimiut,95,GL,1616122612,69,66.9395,-53.6735,-10.66,8.39
140,marawi,58,PH,1616122613,78,7.9986,124.2928,28.33,2.24
141,mbandaka,68,CD,1616122613,93,0.0487,18.2603,21.62,0.47
142,plettenberg bay,68,ZA,1616122614,81,-34.0527,23.3716,18.56,4.39
143,ardahan,55,TR,1616122614,91,41.1087,42.7022,-11.19,0.75
144,thinadhoo,62,MV,1616122614,69,0.5333,72.9333,28.27,2.17
145,salalah,0,OM,1616122415,43,17.0151,54.0924,22.0,1.54
146,cozumel,20,MX,1616122427,78,20.5083,-86.9458,26.0,2.57
147,noyabrsk,100,RU,1616122615,95,63.1994,75.4507,-3.75,5.67
148,nuuk,75,GL,1616122379,68,64.1835,-51.7216,-4.0,8.75
149,mazagao,75,BR,1616122615,83,-0.115,-51.2894,27.0,1.54
150,bafq,95,IR,1616122616,34,31.6128,55.4107,20.18,6.03
151,oranjemund,0,NA,1616122616,85,-28.55,16.4333,15.25,4.97
152,canguaretama,20,BR,1616122616,83,-6.38,-35.1289,26.0,2.06
153,ilulissat,20,GL,1616122412,61,69.2167,-51.1,-12.0,2.57
154,barcelos,0,PT,1616122373,50,41.5388,-8.6151,12.0,3.09
155,tacuarembo,0,UY,1616122403,67,-31.7333,-55.9833,13.27,2.56
156,chuy,1,UY,1616122390,79,-33.6971,-53.4616,14.24,2.73
157,fenoarivo,75,MG,1616122617,100,-18.933,47.4354,17.0,1.54
158,telford,90,GB,1616122617,93,52.6766,-2.4493,8.0,4.12
159,kasama,89,ZM,1616122617,97,-10.2129,31.1808,15.4,1.23
160,varadero,18,CU,1616122618,83,23.1536,-81.2514,23.0,3.6
161,acopiara,7,BR,1616122618,97,-6.0953,-39.4525,21.19,2.01
162,dawlatabad,29,AF,1616122618,51,36.4141,64.9053,16.89,1.62
163,moengo,64,SR,1616122618,90,5.6167,-54.4,21.37,0.83
164,brae,90,GB,1616122416,87,60.3964,-1.353,7.0,2.57
165,carnarvon,0,AU,1616122384,19,-24.8667,113.6333,32.0,7.72
166,bathsheba,75,BB,1616122434,69,13.2167,-59.5167,24.0,3.6
167,siguiri,95,GN,1616122619,28,11.6667,-9.5,27.62,0.73
168,saint-augustin,100,CA,1616122475,96,51.226,-58.6502,0.75,7.42
169,kulhudhuffushi,55,MV,1616122620,66,6.6221,73.07,27.97,2.7
170,robore,100,BO,1616122620,93,-18.3333,-59.75,21.25,1.15
171,hwange,29,ZW,1616122621,82,-18.3693,26.5019,19.32,0.91
172,pachino,3,IT,1616122621,93,36.7186,15.0907,5.0,1.54
173,araioses,100,BR,1616122621,89,-2.89,-41.9031,24.51,2.02
174,lokosovo,100,RU,1616122622,84,61.1333,74.8167,-3.88,5.93
175,skjervoy,100,NO,1616122622,59,70.0311,20.9714,-2.91,9.04
176,najran,0,SA,1616122622,25,17.4924,44.1277,17.0,0.65
177,floresti,100,MD,1616122622,88,47.8933,28.3014,0.29,2.13
178,caravelas,33,BR,1616122395,89,-17.7125,-39.2481,24.27,2.12
179,general roca,0,AR,1616122623,59,-39.0333,-67.5833,16.0,2.57
180,los llanos de aridane,0,ES,1616122399,63,28.6585,-17.9182,16.0,3.6
181,umm lajj,0,SA,1616122623,45,25.0213,37.2685,21.48,4.62
182,garissa,99,KE,1616122623,77,-0.4536,39.6401,25.32,3.99
183,gazanjyk,99,TM,1616122623,73,39.2446,55.5154,11.47,1.53
184,dekar,14,BW,1616122433,64,-21.5333,21.9333,20.4,2.06
185,karpathos,12,GR,1616122624,58,35.507,27.2132,14.0,4.63
186,terre haute,90,US,1616122624,81,39.4667,-87.4139,5.56,8.75
187,general pico,10,AR,1616122624,58,-35.6566,-63.7568,10.84,2.47
188,abalak,100,RU,1616122625,86,58.1286,68.5944,-6.81,4.56
189,radovitskiy,61,RU,1616122625,100,55.1282,39.7956,-3.33,1.24
190,taoudenni,0,ML,1616122474,16,22.6783,-3.9836,21.17,3.23
191,ancud,0,CL,1616122381,85,-41.8697,-73.8203,10.0,2.44
192,penzance,75,GB,1616122626,93,50.1186,-5.5371,9.0,9.26
193,mehamn,97,NO,1616122626,76,71.0357,27.8492,-6.42,9.03
194,saint-joseph,0,RE,1616122626,69,-21.3667,55.6167,24.0,3.09
195,richards bay,0,ZA,1616122626,93,-28.783,32.0377,21.39,1.42
196,ruangwa,45,TZ,1616122627,97,-10.0667,38.9333,20.77,0.8
197,perene,100,PE,1616122627,96,-10.9492,-75.2261,21.04,0.78
198,guiberoua,43,CI,1616122627,97,6.2392,-6.1727,21.49,1.14
199,barentu,100,ER,1616122627,70,15.1139,37.5928,18.06,2.17
200,polyarnyy,75,RU,1616122628,85,69.1989,33.4478,-11.0,1.0
201,solwezi,64,ZM,1616122628,95,-12.1688,26.3894,14.97,0.79
202,astara,40,AZ,1616122628,93,38.5,48.6667,6.0,3.09
203,dasoguz,100,TM,1616122628,76,41.8363,59.9666,8.0,3.09
204,emba,99,KZ,1616122628,88,48.8264,58.1442,0.02,7.73
